Ir,Lutidine,SiH,Time,yield
2,2,0,24,21
0,2,1,24,12
0,2,10,24,1
0,2,5,24,0
4,2,0,24,17
2,4,0,24,23
2,10,0,24,6
2,0,0,24,11
2,2,1,24,27
2,2,1,24,44
2,2,1,24,33
2,2,2,24,33
2,2,3,24,37
2,2,5,24,29
2,2,1,48,5
2,2,3,24,29
2,4,1,24,0
2,2,1,36,35
2,2,1.2,24,34
2,2,4,24,0
2,4,1,24,30
2,2,4,24,0
2,2,1,24,4
2,2,3,24,36
2,2,1,24,12
2,2,3,24,28
2,0,1,24,10
10,2,0,24,4
2,2,0,69,23
1,2,0,24,19
2,2,0,6,7
2,2,0,7,7
2,2,0,9,8
2,2,0,22,15
2,2,0,48,11
2,2,0,53,8
2,2,0,120,6
2,2,0,148,0
2,2,0,24,16
2,2,0,24,17
2,2,0,24,14
2,2,1,24,27
2,4,0,24,14
2,4,1,24,30
